Horodateur,Vous êtes actuellement :,Quelle était votre série au Baccalauréat ?,Quelles étaient vos matières préférées au lycée ?,Dans quelles matières vous étiez doués?,Dans quelles activités pensez-vous être naturellement à l'aise ?,"Parmi les activités suivantes, lesquelles vous attirent le plus ?",Quel type de problème aimez-vous le plus résoudre ?,Quel type d'activité pédagogique vous attire le plus ?,Aimez-vous plutôt la pratique ou les leçons (théorie) ?,Quel rythme de travail vous correspond le mieux ?,Dans quel environnement aimeriez-vous travailler ?,Quels sont vos domaines d'intérêt principaux ?,Préférez-vous travailler principalement,Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?,"si vous devenez etudiant à l'ISPM, quel filière choisiriez vous?","Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?","Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?"
2026-07-11 11:56:10,Professionnel(le),G,Économie; Mathématiques,Économie,Analyser des données; Calculer,Analyser un marché; Gérer un projet; Organiser; Planifier,Problèmes économiques et organisationnels,Études de cas; Exercices pratiques,Pratique,Dynamique,Entreprise; Bureau,Économie; Gestion; Entrepreneuriat; Management,Seul ou en équipe,Créer mon entreprise,EMP,Gestionnaire,5.0
2026-08-01 10:35:24,Étudiant(e),S,Mathématiques; Économie,Économie,Analyser des données; Calculer; Planifier,Gérer un projet; Planifier,Problèmes économiques et organisationnels,Études de cas; Exercices pratiques,Pratique,Régulier,Bureau; Administration,Gestion; Management,En équipe,Créer mon entreprise,GCA,Manager,2.0
2026-08-21 07:03:56,Professionnel(le),A2,Mathématiques; Économie; Français,Français,Organiser; Communiquer,Communiquer; Faire du commerce; Négocier,Problèmes commerciaux,Projets; Études de cas,Pratique et théorie,Intensif,Entreprise; Commerce,Vente; Entrepreneuriat,En équipe,Les perspectives de carrière,IAA,Chercheur,4.0
2026-08-14 13:24:40,Étudiant(e),S,Informatique; Anglais,Informatique; Mathématiques,Résoudre des problèmes logiques; Utiliser des outils informatiques; Travailler avec des données; Analyser des informations,Programmer; Automatiser des tâches,Problèmes logiques et techniques,Travaux dirigés; Projets pratiques,Pratique,Régulier,Bureau,Intelligence artificielle; Data,En équipe,Travailler dans un secteur innovant,ISAIA,Technicien informatique,2.0
2026-08-13 17:59:22,Étudiant(e),A2,Économie; Français,Français,Analyser; Organiser,Analyser un marché; Communiquer,Problèmes commerciaux,Études de cas,Pratique et théorie,Dynamique,Commerce,Commerce; Marketing,En équipe,Les perspectives de carrière,AEE,Éleveur,3.0
2026-07-22 14:58:38,Étudiant(e),C,Chimie; SVT,Physique; Chimie,Expérimenter; Manipuler des outils ou équipements; Analyser,Rechercher; Mesurer; Analyser des substances; Faire des expériences,Problèmes scientifiques et expérimentaux,Laboratoire,Pratique,Progressif,Industrie,Industrie; Laboratoire; Environnement,Seul ou en équipe,Aimer le domaine étudié,ICMP,Chercheur,1.0
2026-08-20 09:45:50,Étudiant(e),A1,Gestion; Mathématiques,Économie,Calculer; Organiser,Organiser; Gérer un projet,Problèmes économiques et organisationnels,Exercices pratiques; Projets,Pratique,Dynamique,Administration; Entreprise,Management; Entrepreneuriat,Seul ou en équipe,Créer mon entreprise,FIC,Business developer,5.0
2026-07-17 15:11:34,Professionnel(le),G,Français; Économie,Économie,Communiquer; Analyser; Organiser; Négocier,Négocier; Communiquer,Problèmes commerciaux,Projets; Études de cas,Pratique et théorie,Intensif,Agence; Commerce,Entrepreneuriat; Commerce; Marketing; Vente,En équipe,Créer mon entreprise,CAA,Business developer,5.0
2026-07-25 10:01:55,Professionnel(le),G,Français; Mathématiques; Économie,Économie,Organiser; Négocier; Analyser,Faire du commerce; Négocier; Analyser un marché,Problèmes commerciaux,Projets,Pratique et théorie,Dynamique,Entreprise; Agence,Commerce; Entrepreneuriat; Vente,En équipe,Les débouchés professionnels,CAA,Responsable marketing,3.0
2026-07-03 16:38:56,Étudiant(e),S,Informatique; Mathématiques; Anglais,Informatique,Utiliser des outils informatiques; Résoudre des problèmes logiques; Analyser des informations; Travailler avec des données,Automatiser des tâches; Programmer; Analyser des données; Créer des applications,Problèmes logiques et techniques,Programmation; Travaux dirigés,Pratique,Intensif et régulier,Entreprise; Télétravail,Technologie; Robotique,En équipe,Développer des compétences professionnelles,ISAIA,Ingénieur logiciel,5.0
2026-08-02 08:12:09,Étudiant(e),C,SVT; Chimie; Mathématiques,SVT; Mathématiques,Observer; Analyser; Expérimenter; Résoudre des problèmes,Faire des expériences; Rechercher; Analyser,Problèmes scientifiques,Travaux pratiques,Pratique et théorie,Régulier,Industrie,Recherche; Environnement,En équipe,Être utile à la société,EMII,Assistant de recherche,5.0
2026-08-17 12:14:54,Professionnel(le),A1,Français; Histoire,Philosophie; Français,Analyser des textes; Argumenter; Rédiger,Rédiger; Lire des documents; Débattre,Problèmes juridiques et sociaux,Débats,Pratique et théorie,Calme et régulier,Tribunal,Droits humains; Société; Droit,Seul ou en équipe,La reconnaissance du diplôme,DTJA,Avocat,2.0
