Horodateur,Vous êtes actuellement :,Quelle était votre série au Baccalauréat ?,Quelles étaient vos matières préférées au lycée ?,Dans quelles matières vous étiez doués?,Dans quelles activités pensez-vous être naturellement à l'aise ?,"Parmi les activités suivantes, lesquelles vous attirent le plus ?",Quel type de problème aimez-vous le plus résoudre ?,Quel type d'activité pédagogique vous attire le plus ?,Aimez-vous plutôt la pratique ou les leçons (théorie) ?,Quel rythme de travail vous correspond le mieux ?,Dans quel environnement aimeriez-vous travailler ?,"Quels sont vos domaines d'intérêt principaux ? (Ex: programmation, musique, voyage, dessins, chimie, ...) Mentionnez-en plusieurs si vous en avez",Préférez-vous travailler principalement ,Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?,Avez-vous étudié ou étudiez-vous à l'ISPM ?,"Si oui, quelle est / a été votre filière (mention) à l'ISPM ?","Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?","Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?"
26/08/2026 11:53:44,Étudiant(e),Série C,,,,,,,Orienté très fortement Pratique & Projets,"Tâches variées, évolutives avec résolution de problèmes inédits",Hybride (Bureau + Déplacements),,Travail individuel,,,IGGLIA : Informatique de Gestion Génie Logiciel et Intelligence Artificielle,,3
26/08/2026 11:56:06,Étudiant(e),Série C,,,,,,,Équilibré entre Théorie et Pratique,Pas de préférence particulière,Hybride (Bureau + Déplacements),programmation,Travail individuel,,,IGGLIA : Informatique de Gestion Génie Logiciel et Intelligence Artificielle,,4
26/08/2026 12:42:05,Étudiant(e),Série C,"Mathématiques, Physique, Sciences de la vie / Biologie, Français / Langues, Technologie / Sciences industrielles",Français / Langues,"Analyser des informations, Calculer, Expérimenter, Programmer, Diriger une équipe, Résoudre des problèmes","Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Comprendre et utiliser des machines, Concevoir des systèmes techniques, Développer des logiciels ou utiliser des technologies numériques","Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux, Problèmes techniques et industriels, Problèmes économiques et financiers","Résoudre des exercices, Faire des recherches documentaires, Réaliser un projet, Participer à des simulations ou études de cas, Travailler en groupe",Orienté très fortement Pratique & Projets,Travail avec des tâches variées,Laboratoire,"programmation, musique, sport",En petite équipe,"Faire quelque chose que j'aime, Avoir un salaire intéressant, Être utile à la société, Travailler dans mon domaine de passion",Oui,IGGLIA : Informatique de Gestion Génie Logiciel et Intelligence Artificielle,Etudiant,3
26/08/2026 12:51:33,Professionnel(le) diplômé(e) / Actif(ve),Série A1 /Série A2,Histoire / Géographie,Histoire / Géographie,Rédiger,"Étudier des lois, règles et réglementations",Problèmes juridiques et réglementaires,Faire des travaux pratiques,Équilibré entre Théorie et Pratique,Travail avec des tâches variées,Tribunal / administration juridique,,Seul(e),Faire quelque chose que j'aime,Non,,Responsable Juridique ,4
26/08/2026 12:55:55,Professionnel(le) diplômé(e) / Actif(ve),Série A1 /Série A2,Français / Langues,"Français / Langues, Arts / Design","Rédiger, Observer, Travailler avec des personnes","Défendre une idée ou argumenter, Étudier des lois, règles et réglementations",Problèmes juridiques et réglementaires,"Faire des recherches documentaires, Faire des présentations / exposés, Participer à des simulations ou études de cas",Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Bureau / administration,,En petite équipe,Avoir de bonnes opportunités d'emploi,Oui,DTJA : Droit et Techniques Juridiques des Affaires,Collaboratrice dans un office notarial ,3
26/08/2026 12:57:58,Étudiant(e),Série A1 /Série A2,"Économie, Gestion / Comptabilité, Français / Langues, Histoire / Géographie","Français / Langues, Histoire / Géographie","Calculer, Rédiger, Expérimenter","Vendre, négocier ou développer une activité commerciale, Créer et concevoir des contenus","Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce",Réaliser un projet,,,Bureau / administration,,Seul(e),"Utiliser mes points forts, Être utile à la société, Résoudre des problèmes",Non,,,2
26/08/2026 12:58:22,Étudiant(e),Série Technique,Technologie / Sciences industrielles,Technologie / Sciences industrielles,Dessiner / concevoir,Concevoir des systèmes techniques,Je ne sais pas encore,Résoudre des exercices,Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Bureau / administration,,En petite équipe,"Faire quelque chose que j'aime, Utiliser mes matières préférées, Utiliser mes points forts",Oui,ESIIA : Electronique Système Informatique et Intelligence Artificielle,,
26/08/2026 12:59:09,Étudiant(e),Série D,"Mathématiques, Chimie, Sciences de la vie / Biologie, Histoire / Géographie","Mathématiques, Chimie, Français / Langues","Rédiger, Expérimenter, Diriger une équipe, Résoudre des problèmes","Réaliser des expériences en laboratoire, Étudier le vivant, les plantes ou les animaux","Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux",Faire des travaux pratiques,Équilibré entre Théorie et Pratique,Je ne sais pas encore,Usine / environnement industriel,Agronomie ,Seul(e),Faire quelque chose que j'aime,Oui,IAA : Industrie Agroalimentaire,,
26/08/2026 13:00:59,Étudiant(e),Série A1 /Série A2,Économie,Gestion / Comptabilité,Communiquer,"Gérer une entreprise ou une organisation, Organiser et coordonner des projets",Problèmes liés à la communication et au commerce,Travailler en groupe,"Orienté fortement Théorie, Leçons",Travail avec des tâches variées,Commerce / magasin,,Avec beaucoup de contacts avec des partenaires,Avoir de bonnes opportunités d'emploi,Non,,,3
26/08/2026 13:01:17,Étudiant(e),Série A1 /Série A2,"Physique, Sciences de la vie / Biologie, Français / Langues, Histoire / Géographie","Physique, Sciences de la vie / Biologie, Français / Langues, Histoire / Géographie","Mémoriser, Expérimenter, Diriger une équipe, Résoudre des problèmes","Observer et comprendre des phénomènes scientifiques, Réaliser des expériences en laboratoire, Étudier le vivant, les plantes ou les animaux, Créer et concevoir des contenus, Travailler dans le tourisme","Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'environnement, Problèmes liés au tourisme et à l'accueil, Problèmes liés à la communication et au commerce","Faire des recherches documentaires, Réaliser un projet, Faire des présentations / exposés, Participer à des simulations ou études de cas",Orienté très fortement Pratique & Projets,Travail principalement régulier et structuré,Établissement de santé / pharmaceutique,,En binôme,"Utiliser mes points forts, Avoir de bonnes opportunités d'emploi, Avoir la possibilité de travailler à l'étranger, Pouvoir évoluer professionnellement",Non,,,5
