Horodateur;Vous êtes actuellement :;Quelle était votre série au Baccalauréat ?;Quelles étaient vos matières préférées au lycée ?;Dans quelles matières vous étiez doués?;Dans quelles activités pensez-vous être naturellement à l'aise ?;Parmi les activités suivantes, lesquelles vous attirent le plus ?;Quel type de problème aimez-vous le plus résoudre ?;Quel type d'activité pédagogique vous attire le plus ?;Aimez-vous plutôt la pratique ou les leçons (théorie) ?;Quel rythme de travail vous correspond le mieux ?;Dans quel environnement aimeriez-vous travailler ?;Quels sont vos domaines d'intérêt principaux ? (Ex: programmation, musique, voyage, dessins, chimie, ...) Mentionnez-en plusieurs si vous en avez;Préférez-vous travailler principalement ?;Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?;Avez-vous étudié ou étudiez-vous à l'ISPM ?;Si oui, quelle est / a été votre filière (mention) à l'ISPM ?;Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?;Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?
2026-08-25 19:28:09.000000;Professionnel(le) diplômé(e) / Actif(ve);Série L;Philosophie, Histoire / Géographie;Français / Langues, Histoire / Géographie, Philosophie, Arts / Design;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Faire des calculs et résoudre des problèmes mathématiques;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Faire des sorties / visites de terrain, Réaliser des expériences;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Laboratoire;théâtre, architecture;En grande équipe;Avoir un salaire intéressant, Utiliser mes matières préférées;Non;;Architecte;1
2026-08-30 20:43:22.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Technologie / Sciences industrielles, Mathématiques;Technologie / Sciences industrielles, Mathématiques, Physique;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Observer et comprendre des phénomènes scientifiques, Faire de la recherche scientifique;Problèmes liés aux machines et aux systèmes, Problèmes liés à la construction et aux infrastructures;Faire des présentations / exposés, Faire des recherches documentaires, Travailler en groupe, Réaliser des expériences;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Environnement naturel;économie;Cela m'est égal;Travailler dans un domaine scientifique, Avoir de bonnes opportunités d'emploi, Faire de la recherche;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;Directeur marketing;1
2026-08-27 09:03:44.000000;Étudiant(e);Série C;Chimie, Physique;Mathématiques, Physique, Chimie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Étudier le vivant, les plantes ou les animaux, Gérer les finances et la comptabilité;Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux;Faire des recherches documentaires, Faire des présentations / exposés, Faire des travaux pratiques, Faire des sorties / visites de terrain;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Bureau / administration;entrepreneuriat, jardinage, histoire;En petite équipe;Utiliser mes matières préférées, Travailler dans mon domaine de passion, Pouvoir évoluer professionnellement;Non;;;
2026-08-27 11:24:47.000000;Étudiant(e);Série A1 /Série A2;Histoire / Géographie, Philosophie, Français / Langues, Gestion / Comptabilité;Français / Langues, Histoire / Géographie, Philosophie, Gestion / Comptabilité;Rédiger, Argumenter, Mémoriser, Observer, Résoudre des problèmes, Diriger une équipe;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Organiser et coordonner des projets;Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce;Réaliser un projet, Réaliser des expériences, Travailler en groupe;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Centre de recherche;entrepreneuriat, physique, architecture;Seul(e);Travailler avec des personnes, Avoir de bonnes opportunités d'emploi, Travailler avec des technologies, Résoudre des problèmes, Avoir un métier stable;Non;;;
2026-08-21 12:31:52.000000;Professionnel(le) diplômé(e) / Actif(ve);Autre;Histoire / Géographie, Français / Langues;Français / Langues, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Gérer les finances et la comptabilité, Comprendre et utiliser des machines;Problèmes liés à l'environnement, Problèmes économiques et financiers;Réaliser des expériences, Faire des sorties / visites de terrain, Travailler en groupe, Réaliser un projet, Résoudre des exercices;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Usine / environnement industriel;physique, programmation, biologie;Avec beaucoup de contacts avec des clients / utilisateurs;Travailler avec des personnes, Créer ma propre entreprise;Non;;Gestionnaire de ressources humaines;4
2026-08-28 08:14:51.000000;Étudiant(e);Série OSE;Sciences de la vie / Biologie, Histoire / Géographie;Sciences de la vie / Biologie, Histoire / Géographie, Français / Langues, Économie;Organiser, Communiquer, Travailler avec des personnes, Dessiner / concevoir, Calculer;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes économiques et financiers, Problèmes liés à l'environnement;Faire des travaux pratiques, Travailler en groupe;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Milieu rural;jardinage, robotique, sport;Avec beaucoup de contacts avec des partenaires;Travailler avec des technologies, Utiliser mes points forts, Travailler dans mon domaine de passion;Non;;;
2026-08-23 04:31:52.000000;Professionnel(le) diplômé(e) / Actif(ve);Série S;Physique, Chimie;Mathématiques, Physique, Chimie, Philosophie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Argumenter, Organiser;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes techniques et industriels, Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques;Faire des travaux pratiques, Participer à des simulations ou études de cas, Faire des recherches documentaires;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Milieu rural;théâtre, sport, jeux vidéo;En grande équipe;Utiliser mes matières préférées, Faire quelque chose que j'aime, Avoir un salaire intéressant, Faire de la recherche;Non;;Médecin;4
2026-08-20 20:34:46.000000;Étudiant(e);Série Technique;Physique, Technologie / Sciences industrielles, Arts / Design;Technologie / Sciences industrielles, Mathématiques, Physique;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Mémoriser, Diriger une équipe;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures;Je ne sais pas encore, Problèmes liés aux machines et aux systèmes, Problèmes techniques et industriels, Problèmes liés à la construction et aux infrastructures;Réaliser un projet, Participer à des simulations ou études de cas;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Terrain agricole;finance;Seul(e);Pouvoir évoluer professionnellement, Être utile à la société, Travailler dans mon domaine de passion, Créer ma propre entreprise;Non;;;
2026-08-29 01:37:53.000000;Étudiant(e);Série D;Sciences de la vie / Biologie, Mathématiques, Français / Langues;Sciences de la vie / Biologie, Chimie, Mathématiques, Français / Langues, Philosophie;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations, Calculer;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Protéger l'environnement;Problèmes liés à l'agriculture et à l'élevage, Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes scientifiques et expérimentaux;Faire des recherches documentaires, Travailler en groupe, Faire des présentations / exposés, Faire des travaux pratiques, Réaliser un projet;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Hôtel / restaurant;dessin, physique, environnement;En petite équipe;Avoir un salaire intéressant, Avoir la possibilité de travailler à l'étranger;Oui;ICMP : Industries Chimiques, Minières et Pétrolières;;
2026-08-25 05:56:40.000000;Étudiant(e);Autre;Histoire / Géographie, Français / Langues;Français / Langues, Histoire / Géographie, Chimie;Organiser, Communiquer, Travailler avec des personnes, Résoudre des problèmes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Travailler dans l'agriculture ou l'élevage;Problèmes économiques et financiers, Problèmes liés à l'environnement;Faire des travaux pratiques, Travailler en groupe;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Hôtel / restaurant;économie;Avec beaucoup de contacts avec des partenaires;Être utile à la société, Travailler avec des personnes, Travailler dans un domaine scientifique;Non;;;
