texte,intention
"Pouvez-vous me présenter cette formation ?","FORMATION_INFO"
"En quoi consiste cette formation ?","FORMATION_INFO"
"Cette filière concerne quel domaine ?","FORMATION_INFO"
"À quoi correspond cette formation ?","FORMATION_INFO"
"Quel est le principe de cette formation ?","FORMATION_INFO"
"De quoi parle cette filière ?","FORMATION_INFO"
"Pouvez-vous m'expliquer ce qu'est cette filière ?","FORMATION_INFO"
"Qu'est-ce que cette formation propose globalement ?","FORMATION_INFO"
"Quel est l'objectif général de cette formation ?","FORMATION_INFO"
"À quoi sert cette formation ?","FORMATION_INFO"
"Quel est le but de cette filière ?","FORMATION_INFO"
"Comment décririez-vous cette formation à quelqu'un qui ne la connaît pas ?","FORMATION_INFO"
"Pouvez-vous me donner une présentation générale de cette filière ?","FORMATION_INFO"
"J'aimerais comprendre globalement en quoi consiste cette formation.","FORMATION_INFO"
"Je voudrais avoir une idée générale de cette filière.","FORMATION_INFO"
"Que pouvez-vous me dire sur cette formation ?","FORMATION_INFO"
"Je voudrais en savoir plus sur cette filière.","FORMATION_INFO"
"Pouvez-vous me renseigner sur cette formation ?","FORMATION_INFO"
"Je souhaite découvrir cette filière.","FORMATION_INFO"
"Cette formation, c'est quoi exactement ?","FORMATION_INFO"
"Cette filière est orientée vers quel domaine ?","FORMATION_INFO"
"Quelle est la vocation de cette formation ?","FORMATION_INFO"
"Quelle est la finalité de cette filière ?","FORMATION_INFO"
"Qu'est-ce qui caractérise cette formation ?","FORMATION_INFO"
"Quelles sont les caractéristiques principales de cette filière ?","FORMATION_INFO"
"Quelles sont les grandes orientations de cette formation ?","FORMATION_INFO"
"Quel est le domaine principal de cette formation ?","FORMATION_INFO"
"Dans quel domaine s'inscrit cette filière ?","FORMATION_INFO"
"Cette formation est spécialisée dans quoi ?","FORMATION_INFO"
"Sur quoi porte principalement cette formation ?","FORMATION_INFO"
"Quels sont les grands axes de cette formation ?","FORMATION_INFO"
"Quelles sont les grandes lignes de cette filière ?","FORMATION_INFO"
"Pouvez-vous me donner un aperçu de cette formation ?","FORMATION_INFO"
"Pouvez-vous me faire un résumé de cette filière ?","FORMATION_INFO"
"J'aimerais avoir une vue d'ensemble de cette formation.","FORMATION_INFO"
"Je voudrais comprendre ce que représente cette filière.","FORMATION_INFO"
"Je cherche une explication simple de cette formation.","FORMATION_INFO"
"Pouvez-vous m'expliquer cette filière simplement ?","FORMATION_INFO"
"Comment présenteriez-vous cette formation à un futur étudiant ?","FORMATION_INFO"
"Qu'est-ce qu'il faut savoir en général sur cette formation ?","FORMATION_INFO"
"Quelles sont les informations essentielles sur cette filière ?","FORMATION_INFO"
"Je voudrais connaître les grandes caractéristiques de cette formation.","FORMATION_INFO"
"Comment se présente cette filière dans son ensemble ?","FORMATION_INFO"
"Comment est organisée cette formation de manière générale ?","FORMATION_INFO"
"Quelle est la nature de cette formation ?","FORMATION_INFO"
"Quel type de formation est-ce ?","FORMATION_INFO"
"Cette filière correspond à quel type de parcours ?","FORMATION_INFO"
"À quel domaine professionnel cette formation est-elle liée ?","FORMATION_INFO"
"Cette formation est-elle plutôt orientée vers la théorie ou la pratique ?","FORMATION_INFO"
"Est-ce une formation plutôt générale ou spécialisée ?","FORMATION_INFO"
"Quel est le positionnement de cette formation ?","FORMATION_INFO"
"Qu'est-ce qu'on fait globalement dans cette filière ?","FORMATION_INFO"
"Que couvre cette formation dans les grandes lignes ?","FORMATION_INFO"
"Que comprend cette filière de manière générale ?","FORMATION_INFO"
"Quels sont les principaux aspects de cette formation ?","FORMATION_INFO"
"Qu'est-ce que cette filière permet de découvrir ?","FORMATION_INFO"
"Que peut-on apprendre globalement dans cette formation ?","FORMATION_INFO"
"Quel est l'intérêt général de cette formation ?","FORMATION_INFO"
"Pourquoi cette formation existe-t-elle ?","FORMATION_INFO"
